sequence,education_type,locality,religion,how_often,generation,gender
pmcew,professional,city,no,never,1,f
swmce,higher,city,no,never,0,m
smewc,higher,city,no,never,0,m
pswmbdce,higher,city,no,never,1,f
pews,professional,city,yes,sev_a_year,1,f
ewmcs,professional,city,no,never,0,m
ewpsmc,general,city,no,never,0,f
ewspmcb,general,city,yes,sev_a_year,1,f
wmsce,general,city,yes,once_a_week,0,f
wepsmcb,general,city,yes,sev_a_year,0,f
spmcew,higher,city,yes,sev_a_year,1,m
wemcs,professional,city,yes,sev_a_year,0,f
swmcep,professional,city,yes,sev_a_year,0,f
cmedpsw,higher,city,yes,sev_a_year,1,f
wmsce,higher,city,yes,sev_a_year,1,f
swpe,higher,city,no,never,0,m
sewpmcbd,professional,city,yes,never,1,f
sewmcd,higher,city,no,never,1,m
mcsewd,higher,city,yes,min_once_a_month,0,f
smew,higher,city,yes,sev_a_year,1,f
wespmcb,general,city,no,never,0,m
mewsc,higher,city,yes,sev_a_year,0,f
ewmscdpb,professional,city,yes,min_once_a_month,0,f
spew,higher,city,no,never,1,m
ewpsmc,higher,city,yes,never,1,m
smcew,higher,city,yes,sev_a_year,0,f
wsemc,professional,city,no,sev_a_year,0,f
wmscpbe,professional,city,yes,min_once_a_month,0,f
spmewcbd,higher,city,no,never,1,f
smcew,higher,city,yes,sev_a_year,0,f
swpmcbe,general,city,yes,never,0,f
smcew,higher,city,yes,never,1,m
sewpmcbd,professional,city,yes,never,1,f
ewmcpdbs,higher,city,yes,sev_a_year,0,f
swmcdpbe,general,city,yes,never,0,m
wpmscdbe,higher,city,yes,never,1,f
ewmsc,professional,city,yes,never,1,f
swmcpdbe,general,city,yes,never,0,f
sewmdc,general,city,no,never,0,f
sewmc,professional,city,yes,sev_a_year,0,f
ewpmcsbd,professional,city,yes,never,0,f
pswcmbed,general,city,yes,min_once_a_month,1,f
wmsec,higher,city,yes,sev_a_year,0,f
wse,general,city,no,never,1,m
ewspmbdc,professional,city,no,never,1,m
ewps,professional,city,yes,min_once_a_month,1,f
wscpe,higher,city,yes,sev_a_year,0,f
ewmcs,higher,city,no,sev_a_year,1,m
wemsc,general,city,yes,sev_a_year,0,f
swpemc,general,city,yes,sev_a_year,1,m
wsepcb,professional,city,yes,min_once_a_month,1,m
spemwbdc,professional,city,yes,min_once_a_month,1,f
sewmc,higher,city,yes,sev_a_year,0,f
pwmcsbde,professional,city,yes,sev_a_year,1,f
sewpmcb,higher,city,no,never,0,f
ewspc,professional,city,yes,sev_a_year,1,m
wespmc,professional,city,yes,min_once_a_month,1,m
scwe,professional,city,yes,min_once_a_month,0,f
ewspc,professional,city,yes,never,1,m
smcewpb,general,city,yes,sev_a_year,0,f
wpsec,professional,city,yes,sev_a_year,1,f
spmecwbd,professional,city,yes,sev_a_year,1,m
wpsmce,professional,city,yes,sev_a_year,0,f
wsepmcb,general,city,no,never,0,f
wmsedcp,general,city,yes,sev_a_year,1,f
pwesb,professional,city,yes,never,1,m
wpmcse,higher,city,yes,sev_a_year,1,f
emcws,general,city,yes,never,0,f
spmcewb,higher,city,yes,sev_a_year,0,f
spmecwb,higher,city,yes,sev_a_year,0,f
swce,professional,city,yes,sev_a_year,1,f
wsmced,general,city,yes,never,1,f
wspecb,higher,city,yes,sev_a_year,0,f
ewmcpdsb,professional,city,yes,never,0,f
ewmcs,professional,city,yes,never,0,f
semcw,professional,city,yes,never,1,f
ewpsmcb,professional,city,no,never,1,m
spewcmb,professional,city,yes,never,0,f
wspmec,professional,city,yes,never,1,f
ewspmcbd,professional,city,yes,sev_a_year,0,f
spmcewbd,professional,city,yes,never,1,f
smewc,professional,city,yes,sev_a_year,1,f
sewmc,professional,city,yes,never,0,f
wemsc,professional,city,yes,never,1,f
ewcpms,general,city,yes,never,1,f
wepmcsbd,professional,city,yes,never,1,m
wemsc,professional,city,yes,sev_a_year,0,f
wspcmebd,general,city,yes,sev_a_year,1,f
wecpsb,general,city,yes,sev_a_year,1,f
wsmced,professional,city,yes,sev_a_year,0,f
msewcp,professional,city,yes,never,0,f
ewspb,professional,city,yes,sev_a_year,1,f
sewc,higher,city,yes,sev_a_year,0,f
ewmcs,professional,city,yes,sev_a_year,1,m
we,professional,city,yes,never,1,m
wepmbd,general,city,yes,never,1,m
wmsce,professional,city,yes,min_once_a_month,0,f
wepscb,higher,city,yes,min_once_a_month,0,f
sewmc,professional,city,no,never,0,m
swmce,higher,city,yes,sev_a_year,0,f
wesmc,general,city,yes,sev_a_year,0,m
pewbsc,higher,city,yes,sev_a_year,1,f
swemc,professional,city,yes,sev_a_year,0,f
sew,general,city,yes,sev_a_year,0,f
sewmc,professional,city,yes,sev_a_year,1,m
wpmecsbd,professional,city,yes,never,0,f
sewpmc,professional,city,no,never,1,m
wpsemc,professional,city,yes,never,1,f
wsemcdp,professional,city,yes,never,0,m
pmcews,professional,city,yes,sev_a_year,1,f
wesmc,professional,city,yes,never,0,f
ewpsmcb,professional,city,no,never,0,f
wec,general,city,yes,never,1,f
ewmcs,professional,city,yes,never,1,m
smewcp,professional,city,yes,sev_a_year,1,f
eswmc,professional,city,yes,sev_a_year,1,m
ewsmcpb,general,city,no,never,0,f
ews,general,city,no,never,1,m
wemcs,professional,city,no,never,0,m
swmce,higher,city,yes,never,1,m
wsmec,general,city,yes,never,0,f
smewc,higher,city,yes,sev_a_year,0,f
ewpsc,professional,city,yes,sev_a_year,1,m
sewmc,professional,city,yes,sev_a_year,0,m
sew,higher,city,yes,never,0,f
sewpmc,professional,city,yes,never,1,m
wepmcs,professional,city,no,never,1,f
scwe,general,city,yes,sev_a_year,0,f
sewpmcb,professional,city,no,never,1,f
smcew,higher,city,yes,sev_a_year,1,f
ewsmc,general,city,yes,never,0,f
sewpcm,general,city,yes,sev_a_year,1,m
pwmces,higher,city,yes,sev_a_year,1,f
wepscb,professional,city,no,never,1,m
wemcs,professional,city,yes,never,0,m
sewmc,professional,city,yes,sev_a_year,1,f
sewpmc,professional,city,no,sev_a_year,1,f
wesmc,general,city,no,never,0,m
msewcdpb,professional,city,yes,sev_a_year,0,m
sewmc,professional,city,yes,never,1,f
wemsc,professional,city,yes,never,1,m
ewmsc,professional,city,yes,never,1,m
sewmc,professional,city,yes,sev_a_year,1,f
wsemcd,general,city,yes,min_once_a_month,0,f
wpsemc,general,city,yes,sev_a_year,1,m
ewms,general,city,yes,sev_a_year,0,f
wmesc,general,city,yes,never,0,f
wmcse,professional,city,yes,sev_a_year,0,f
wemcs,general,city,yes,sev_a_year,0,f
swcepm,professional,city,yes,sev_a_year,0,f
wemcs,general,city,yes,sev_a_year,0,f
sewmc,professional,city,yes,sev_a_year,0,f
mcwse,professional,city,yes,never,1,f
swmce,professional,city,yes,sev_a_year,0,m
wemcds,general,city,yes,sev_a_year,0,f
wesmc,general,city,yes,never,0,m
eswpb,professional,city,no,never,1,m
sewmc,professional,city,yes,sev_a_year,0,f
sewpmcbd,professional,city,yes,never,0,f
wepsmcbd,professional,city,yes,never,0,m
sewmc,professional,city,yes,never,0,f
sewmc,general,city,yes,never,0,f
wmecdps,higher,city,yes,never,0,m
mswce,higher,city,yes,min_once_a_month,0,f
ewpsc,higher,city,yes,never,1,m
mecws,higher,city,yes,never,1,f
wepmcs,general,city,yes,never,1,m
ewmsc,professional,city,yes,never,0,f
sewpcm,professional,village,yes,never,0,f
swmec,professional,village,yes,never,0,f
swepmc,professional,village,yes,never,0,f
wemcs,professional,village,no,never,0,m
ewmsc,professional,village,yes,sev_a_year,1,f
cewmsp,professional,village,no,never,0,m
emscw,general,village,yes,never,0,f
ewspb,general,village,yes,never,1,m
ewmsc,professional,village,no,never,1,f
mcewsdp,professional,village,yes,sev_a_year,1,m
wesmc,general,village,yes,sev_a_year,0,f
pewmsc,professional,village,yes,never,1,f
sew,professional,village,yes,never,1,m
ewpsc,professional,village,no,never,1,m
ewcspb,general,village,yes,never,0,f
wecs,general,village,yes,sev_a_year,0,f
pmcews,professional,village,yes,sev_a_year,0,m
ewmcs,general,village,yes,never,0,m
wespb,general,village,yes,never,0,f
spmewbd,higher,village,yes,sev_a_year,1,f
smec,professional,village,no,never,1,f
ewcs,general,village,yes,never,1,f
wsmce,professional,village,yes,never,0,m
wems,professional,village,yes,sev_a_year,0,m
wemcs,professional,village,yes,never,1,m
wesc,general,village,yes,sev_a_year,0,f
swemc,general,village,yes,never,0,m
ewmcs,professional,village,yes,never,1,m
ewmsc,professional,village,no,never,1,f
smcew,general,village,no,never,0,m
wcse,higher,village,yes,sev_a_year,1,f
sewpmc,professional,village,no,never,1,f
sewmcd,professional,village,yes,never,1,f
wemcdpsb,general,village,yes,sev_a_year,1,f
swce,professional,village,yes,never,0,f
sewmcd,professional,village,yes,never,0,f
wsemc,professional,village,yes,sev_a_year,1,m
wemsc,professional,village,yes,min_once_a_month,0,f
ewcms,professional,village,yes,never,0,m
wemsc,general,village,yes,never,0,f
wpsmce,professional,village,yes,sev_a_year,1,f
wemsc,general,village,yes,sev_a_year,1,f
sewmc,general,village,no,never,0,m
swpmce,higher,village,no,never,1,f
pswcme,general,village,yes,sev_a_year,1,f
eswmc,general,village,yes,never,0,f
wspmecbd,professional,village,no,never,1,f
sewmc,professional,village,yes,sev_a_year,0,f
ewmsc,professional,village,yes,never,0,f
sewpc,professional,village,no,sev_a_year,1,f
wemcs,professional,village,yes,sev_a_year,1,f
pcwes,general,village,no,never,1,f
eswmc,professional,village,yes,never,1,m
wmsce,professional,village,no,never,0,f
mcwe,higher,village,yes,never,1,f
smwce,higher,village,yes,sev_a_year,1,f
swce,higher,village,yes,sev_a_year,1,f
mscwed,higher,village,yes,sev_a_year,1,f
epmswcdb,general,village,yes,sev_a_year,1,f
swec,professional,village,yes,sev_a_year,0,f
swmec,higher,village,yes,never,1,f
mewsc,professional,village,yes,never,1,f
wsmec,professional,village,no,sev_a_year,1,f
sewpc,professional,village,yes,min_once_a_month,0,f
wemcs,general,village,yes,sev_a_year,0,m
mwces,higher,village,yes,sev_a_year,1,f
swecm,professional,village,yes,sev_a_year,0,f
ewmscd,professional,village,yes,never,1,f
smewc,professional,village,yes,sev_a_year,1,f
emwcsdpb,professional,village,yes,sev_a_year,1,f
wepscm,professional,village,yes,sev_a_year,1,f
wemcds,general,village,yes,sev_a_year,0,f
sewmc,professional,village,yes,sev_a_year,1,f
ewmdcs,professional,village,yes,sev_a_year,0,f
sewcm,professional,village,yes,sev_a_year,0,f
wsemc,professional,village,yes,sev_a_year,1,f
ewmsc,general,village,yes,never,0,f
sewmc,professional,village,yes,never,1,f
pmewscb,professional,village,yes,never,0,f
wemsc,general,village,yes,sev_a_year,0,f
ewcms,professional,village,yes,never,1,m
wmcse,higher,village,yes,never,1,f
emsw,professional,village,yes,never,1,f
ewcs,general,village,yes,never,0,f
ewpscmb,professional,village,yes,never,0,f
wmedpsc,professional,village,yes,sev_a_year,0,m
sewmc,higher,village,yes,never,1,f
swmce,higher,village,yes,never,0,f
ewmsc,professional,village,yes,never,1,f
wse,higher,village,yes,never,0,f
wmces,professional,village,yes,never,0,m
sewmc,professional,village,yes,never,0,m
spmecw,higher,village,yes,min_once_a_month,1,f
wmsce,higher,village,yes,never,0,f
sewpmcb,professional,village,yes,never,0,f
smewc,higher,village,yes,never,1,m
smcwe,professional,village,yes,never,0,m
wsemc,general,village,yes,never,0,f
psemcbw,professional,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,sev_a_year,1,m
mscwe,professional,village,yes,never,1,f
ewscpmbd,professional,village,yes,sev_a_year,0,f
wesmc,professional,village,no,never,1,m
sewmc,professional,village,yes,never,1,f
eswpmcd,professional,village,no,never,1,m
sewmc,professional,village,yes,sev_a_year,1,f
ewsmcd,professional,village,no,never,1,m
emscw,professional,village,no,never,1,m
swe,higher,village,no,never,1,m
ewmcs,professional,village,yes,never,0,f
emscw,general,village,yes,never,0,f
sewmc,professional,village,yes,sev_a_year,0,f
ewmsdpc,general,village,yes,never,1,m
wmesc,higher,village,yes,sev_a_year,0,f
wmsce,general,village,yes,never,0,f
sewmc,professional,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,never,0,m
wmesc,professional,village,yes,sev_a_year,1,m
ews,general,village,yes,min_once_a_month,0,f
sewmc,professional,village,yes,never,0,m
mswce,higher,village,yes,never,1,m
sewmc,professional,village,no,never,1,f
wemcs,general,village,yes,never,0,m
eswm,professional,village,yes,sev_a_year,1,m
eswmc,professional,village,yes,never,1,m
pcewms,professional,village,yes,sev_a_year,0,f
ewpscm,professional,village,no,never,1,m
ewmsc,general,village,yes,never,0,f
ewmcs,professional,village,yes,never,0,f
epwsmcbd,higher,village,yes,never,0,f
ewsmc,professional,village,yes,never,1,m
ewmscp,general,village,no,never,0,f
smecw,higher,village,yes,never,1,f
ewmcs,professional,village,yes,never,0,f
wemcspb,general,village,yes,never,0,f
wemsc,professional,village,yes,never,0,m
sewmc,professional,village,no,never,1,f
ewsmc,higher,village,no,never,0,f
ewmsc,professional,village,no,never,1,f
mewsc,professional,village,yes,never,1,f
wemsc,general,village,yes,sev_a_year,0,f
mscwe,professional,village,yes,sev_a_year,0,f
ewspcb,professional,village,yes,never,0,m
ews,general,village,yes,never,0,f
smwec,professional,village,yes,never,1,m
sewmc,higher,village,yes,never,1,f
ewscmd,professional,village,yes,never,0,f
sewcm,professional,village,yes,never,1,f
ewscp,general,village,yes,never,1,m
sewpm,professional,village,yes,sev_a_year,0,m
esw,general,village,yes,never,1,m
eswmc,professional,village,yes,never,0,f
ewpmcs,professional,village,yes,sev_a_year,1,f
sewmc,professional,village,yes,sev_a_year,1,f
sewcp,professional,village,yes,never,0,m
wepcbms,general,village,yes,sev_a_year,0,f
ewmcs,professional,village,no,never,1,f
ewcs,general,village,yes,never,0,f
ews,professional,village,yes,sev_a_year,1,f
ewspmc,professional,village,no,never,1,f
wsem,professional,village,no,never,0,f
sewmc,professional,village,yes,never,1,f
wmces,professional,village,yes,once_a_week,1,f
swemc,professional,village,yes,sev_a_year,1,f
ewsmc,professional,village,no,never,0,f
ewsc,general,village,yes,never,0,f
sewmc,professional,village,yes,never,0,m
wsemc,professional,village,yes,never,1,m
smwce,professional,village,yes,never,1,f
ewmcs,general,village,yes,sev_a_year,0,f
wesc,general,village,yes,never,0,f
ewscp,professional,village,yes,sev_a_year,0,m
ewpsmc,higher,village,yes,never,1,m
meswc,professional,village,yes,never,0,f
sewmc,higher,village,yes,never,1,f
ewsmc,professional,village,yes,sev_a_year,1,f
wsec,professional,village,yes,sev_a_year,0,f
sewpmcb,higher,village,no,never,0,f
ewmscdpb,professional,village,yes,sev_a_year,0,m
swemc,professional,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,never,1,f
mscewd,general,village,no,never,1,f
mcews,higher,village,no,never,1,m
wesmc,general,village,yes,never,0,f
wmcse,professional,village,yes,never,0,f
wemsc,general,village,yes,never,0,m
wesmcdp,professional,village,yes,never,1,m
wescm,general,village,yes,never,0,f
sewmc,professional,village,yes,never,1,f
wemdsp,professional,village,no,never,0,m
swce,higher,village,yes,never,0,f
wemsc,general,village,yes,never,0,f
sewpc,professional,village,yes,never,1,f
swmecp,professional,village,yes,never,0,f
ewmcs,professional,village,yes,never,0,m
wemcs,general,village,yes,never,0,m
wmsce,professional,village,no,never,1,f
wemcs,general,village,yes,never,0,m
swmcepb,higher,city,yes,sev_a_week,0,f
swemc,higher,city,yes,min_once_a_month,0,m
swpmecb,professional,city,yes,sev_a_year,0,f
wmces,higher,city,yes,sev_a_year,0,f
pcmswebd,professional,city,yes,sev_a_year,1,f
eswmc,general,city,yes,sev_a_year,0,f
pwmces,professional,city,yes,never,1,f
sewmc,professional,city,yes,sev_a_year,0,f
sewmc,professional,city,yes,sev_a_year,1,f
sewmc,professional,city,yes,sev_a_year,1,f
wsmced,professional,city,yes,never,1,f
wspmbde,higher,city,yes,min_once_a_month,1,f
ewmcs,higher,city,no,never,0,f
wsemc,general,city,no,never,0,f
ewsmc,general,city,yes,sev_a_year,0,f
sewmc,higher,city,yes,never,1,m
wemscd,professional,city,yes,min_once_a_month,1,f
wesmc,general,city,yes,sev_a_year,0,f
msecw,general,city,yes,sev_a_year,0,m
sewpbc,higher,city,yes,sev_a_year,0,f
mswcedpb,higher,city,yes,min_once_a_month,1,f
pmwces,professional,city,yes,never,1,f
psmewcbd,professional,city,yes,sev_a_year,1,f
wemcd,higher,city,no,never,1,f
sewmc,higher,city,yes,never,1,m
we,higher,city,no,never,1,m
wsemcd,professional,city,yes,sev_a_year,0,f
wmsdce,professional,city,yes,never,0,f
wscme,professional,city,yes,never,0,f
sewpbc,professional,city,yes,never,0,f
ew,professional,city,yes,sev_a_year,1,m
scewpm,professional,city,yes,sev_a_year,0,f
wspec,general,city,yes,sev_a_year,1,m
wspmec,professional,city,no,sev_a_year,1,f
wesc,professional,city,yes,sev_a_year,0,f
sewm,higher,city,yes,min_once_a_month,0,f
swepcb,higher,city,yes,never,0,f
wmsce,professional,city,yes,sev_a_year,0,f
pscew,higher,city,yes,sev_a_year,1,f
wepmc,professional,city,yes,min_once_a_month,1,f
wmsce,professional,city,yes,sev_a_year,0,f
ewpsmcbd,professional,city,yes,never,1,f
pmecwsb,professional,city,yes,sev_a_year,1,f
wespmc,general,city,yes,never,0,m
eswmc,higher,city,yes,sev_a_year,1,f
sewpmcbd,general,city,no,never,1,m
sewmc,professional,city,yes,never,0,f
ewmsc,general,city,yes,sev_a_year,0,f
wemcs,general,city,no,never,0,m
smwde,professional,city,no,never,0,f
swmce,professional,city,yes,never,1,f
specwb,professional,city,yes,min_once_a_month,1,f
mecsw,higher,city,yes,sev_a_year,1,f
sewc,professional,city,yes,never,1,f
swpemc,professional,city,yes,once_a_week,0,m
wepscm,professional,city,no,never,1,m
wsemc,professional,city,yes,sev_a_year,0,f
sewmc,professional,city,yes,sev_a_year,1,f
swem,professional,city,yes,sev_a_year,1,f
wepmscbd,professional,city,no,never,1,m
ewspb,professional,city,yes,sev_a_year,1,m
wces,professional,city,yes,sev_a_year,0,f
wemcs,general,city,yes,never,0,m
wecs,professional,city,no,never,1,f
smewc,higher,city,yes,never,0,m
wsmcde,general,city,yes,sev_a_week,0,f
wmecs,professional,city,yes,sev_a_year,0,f
smcwe,higher,city,no,never,1,m
ewpmcs,general,city,yes,never,1,m
wsepmcb,general,city,yes,sev_a_year,0,f
wespbmd,higher,city,yes,never,0,f
ewmcs,professional,city,yes,min_once_a_month,0,f
sewmc,higher,city,yes,sev_a_year,0,m
eswmc,higher,city,yes,sev_a_year,1,m
sewmc,professional,city,yes,never,1,f
mcwes,higher,city,yes,sev_a_year,1,f
swmce,general,city,yes,min_once_a_month,0,m
ewspbcm,professional,city,yes,sev_a_year,1,f
sewpcb,professional,city,yes,sev_a_year,1,f
wecms,professional,city,yes,sev_a_year,1,f
sewc,professional,city,yes,never,0,f
wscpbe,general,city,yes,sev_a_year,1,m
wemsc,professional,town,no,never,0,f
mspdwbe,higher,town,yes,once_a_week,1,f
wcpse,higher,town,yes,sev_a_year,1,f
msewp,professional,town,yes,sev_a_year,0,f
emsdcw,professional,town,no,never,1,f
wpecms,professional,town,yes,never,1,m
semcw,professional,town,yes,never,0,m
ewpsmc,professional,town,yes,never,1,m
swemc,professional,town,no,never,0,f
swmce,professional,town,yes,sev_a_year,0,f
sewmc,professional,town,yes,sev_a_year,1,f
swmce,higher,town,yes,never,1,m
ewmsc,professional,town,no,never,1,f
ewmsc,professional,town,yes,never,1,f
sewmc,professional,town,yes,never,0,f
wcmespdb,professional,town,yes,never,1,m
sewmcd,professional,town,yes,never,1,f
sewmcd,higher,town,yes,sev_a_year,1,f
wsemcdp,professional,town,no,never,0,m
sewmc,professional,town,yes,never,0,f
wpmcesb,professional,town,yes,never,0,f
meswc,higher,town,yes,never,1,f
smcew,higher,town,no,never,0,f
ewsmc,professional,town,no,never,0,m
wmsce,professional,town,yes,once_a_week,0,f
sewmc,professional,town,yes,never,0,f
pwsmcbde,professional,town,yes,sev_a_year,0,f
semcwdp,professional,town,yes,sev_a_week,0,f
wsepm,professional,town,yes,never,0,m
swmce,higher,town,yes,sev_a_year,1,f
wesmc,professional,town,yes,never,0,m
wemcs,general,town,yes,never,0,f
wemsc,general,town,yes,never,0,f
wmsec,general,town,yes,never,0,f
smcew,higher,town,no,never,0,m
sewmc,professional,town,yes,min_once_a_month,0,f
sewmc,higher,town,yes,sev_a_year,0,f
mscew,professional,town,yes,sev_a_year,0,f
swemc,professional,town,yes,sev_a_year,1,f
ewmsc,professional,town,yes,sev_a_year,0,f
ewsmc,professional,town,no,never,1,m
emwsc,general,town,yes,sev_a_year,0,f
ewmcs,professional,town,yes,never,0,f
wemcds,professional,town,yes,never,1,f
swcme,professional,town,yes,sev_a_year,0,m
wemcs,general,town,yes,never,0,f
ewmsc,professional,town,yes,once_a_week,0,f
cmswed,professional,town,yes,sev_a_year,1,f
swmedpcb,general,town,yes,sev_a_year,1,f
spewcb,professional,town,yes,sev_a_year,1,f
smcew,higher,town,yes,sev_a_year,1,f
emswc,professional,town,no,never,1,m
mswcep,professional,town,yes,sev_a_year,0,f
wemsc,professional,town,no,never,0,m
sewmcd,higher,town,yes,sev_a_year,0,f
ewmsc,professional,town,yes,never,1,f
ewsmcdpb,higher,town,yes,never,0,f
ewsmdpcb,professional,town,yes,never,0,f
eswmc,professional,town,yes,sev_a_year,1,m
eswmc,general,town,yes,never,0,m
ewpcsmb,professional,town,yes,never,0,f
smewc,higher,town,yes,sev_a_year,0,f
sewmc,professional,town,no,never,1,f
ewpcmsb,professional,town,no,never,0,f
ewsmc,professional,town,yes,sev_a_year,0,f
smewc,higher,town,yes,never,0,m
ewmscd,professional,town,yes,never,1,f
wemsc,general,town,yes,once_a_week,0,f
eswmc,general,town,yes,never,0,m
mscwe,higher,town,no,never,1,f
esmwc,professional,town,no,never,1,m
mcews,higher,town,yes,never,0,m
semwc,higher,town,yes,never,0,m
ewmsc,general,town,no,never,1,m
smecw,higher,town,no,never,1,m
sewmcd,higher,town,yes,never,0,f
wpsmce,higher,town,yes,sev_a_year,1,f
swepmc,professional,town,yes,min_once_a_month,0,f
ewmsc,professional,town,yes,never,0,m
spemwcb,professional,town,yes,sev_a_year,1,f
wcspe,general,town,no,never,1,m
ewmspdc,general,town,yes,sev_a_year,0,m
sewmc,professional,town,yes,sev_a_year,0,f
wspmce,professional,town,yes,sev_a_year,1,m
wmcse,higher,town,yes,sev_a_year,1,m
ewpmbdcs,general,town,yes,sev_a_year,0,f
ewpmcsb,professional,town,yes,never,0,f
wmscepb,general,village,yes,sev_a_year,0,f
mscewd,professional,village,yes,sev_a_year,1,f
wpscmeb,general,village,yes,sev_a_year,0,f
wmcsedpb,general,village,yes,never,1,f
emwsc,general,village,yes,sev_a_year,0,f
smewc,higher,village,no,never,1,f
wmscepdb,general,village,yes,never,1,f
spmewc,professional,village,yes,sev_a_year,1,f
wpmsce,general,village,yes,sev_a_year,1,f
emswc,professional,village,yes,sev_a_year,1,f
pmcwsbde,general,village,yes,sev_a_year,1,f
wmsec,general,village,yes,sev_a_year,1,f
mscew,professional,village,yes,sev_a_year,1,f
ewmcs,general,village,no,never,0,m
wepsmcbd,general,village,yes,never,0,f
sewmc,professional,village,yes,never,0,m
smcew,higher,village,no,never,1,m
secw,general,village,no,never,1,f
wesmc,general,village,no,never,1,m
semwc,professional,village,yes,sev_a_year,1,f
smwce,higher,village,no,never,1,f
wemcs,professional,village,yes,never,1,m
we,professional,village,yes,sev_a_year,1,m
smwecp,professional,village,yes,never,1,f
swmce,professional,village,yes,never,1,m
semwc,general,village,no,never,0,m
sewpmbd,professional,village,yes,never,0,m
emdwpsc,general,village,yes,never,0,m
pcmsew,professional,village,yes,sev_a_year,1,f
sewmcd,professional,village,yes,never,0,f
ewcms,general,village,yes,never,0,f
smewc,professional,village,no,never,0,f
espcmw,general,village,yes,never,0,f
emswc,professional,village,yes,sev_a_year,1,m
wepcmsdb,professional,village,no,never,1,m
ewmsc,general,village,no,never,1,m
wepsc,professional,village,yes,never,1,m
swmec,higher,village,yes,sev_a_year,1,f
ews,general,village,yes,never,1,f
wsmec,professional,village,yes,sev_a_year,0,f
wesmc,general,village,yes,sev_a_year,1,f
eswmdc,general,village,no,never,1,m
ewmsc,general,village,yes,sev_a_week,0,f
wmscep,general,village,yes,never,0,f
sewmcd,general,village,no,never,1,f
wmsec,general,village,yes,never,0,f
ewpsmc,general,village,yes,sev_a_year,0,f
ewmscpb,general,village,yes,never,1,f
pwmsecb,general,village,yes,never,0,f
wsepc,professional,village,yes,sev_a_year,1,f
wmsce,professional,village,yes,never,0,m
smcew,professional,village,yes,sev_a_year,0,f
sewmc,professional,village,yes,never,1,m
ewmsc,general,village,yes,min_once_a_month,1,f
swmce,higher,village,yes,min_once_a_month,1,m
wspemcbd,professional,village,no,never,1,f
sewcm,professional,village,yes,min_once_a_month,0,f
wsmce,higher,village,yes,never,1,f
sew,professional,village,yes,sev_a_year,0,f
ewspmc,professional,village,yes,min_once_a_month,1,m
cwmse,higher,village,no,never,0,f
mcsew,higher,village,yes,sev_a_year,1,f
pmcews,professional,village,no,never,1,f
wemsc,general,village,yes,min_once_a_month,0,f
ewpmscbd,general,village,no,never,1,m
wspmce,higher,village,yes,sev_a_year,1,f
smewc,higher,village,yes,never,0,f
ewsc,general,village,yes,never,0,f
esmwc,general,village,yes,never,0,m
swe,professional,village,yes,sev_a_year,0,f
wemsc,general,village,yes,never,0,m
emwsc,general,village,yes,never,0,f
emwsc,general,village,yes,never,0,m
wems,general,village,yes,never,0,f
emscw,general,village,yes,never,0,f
ewmsdc,general,village,yes,never,0,f
ewmsc,general,village,yes,never,0,m
ewmcs,professional,town,yes,min_once_a_month,0,m
ewmcs,general,town,no,never,0,m
wes,professional,town,yes,never,1,f
wsemc,higher,town,yes,never,0,f
ewmsc,higher,town,yes,never,0,f
msew,higher,town,yes,min_once_a_month,1,m
wme,general,town,yes,never,1,f
smcdewpb,higher,town,yes,never,0,f
swemc,professional,town,yes,sev_a_year,0,f
wecs,general,town,yes,never,0,f
mscew,higher,town,yes,never,0,f
ewsmcd,professional,town,yes,never,1,f
sewm,professional,town,yes,never,1,f
emswcd,professional,town,yes,never,1,f
wemcs,professional,town,yes,sev_a_year,0,m
wemsc,higher,town,yes,never,1,f
pswemc,professional,town,yes,sev_a_year,0,m
emsc,professional,town,yes,never,1,f
ems,higher,town,yes,never,1,f
emcw,professional,town,yes,sev_a_year,1,m
wemsc,general,town,yes,never,0,f
ewmsc,general,town,yes,once_a_week,0,m
emswc,general,town,yes,never,0,f
ewsmc,general,town,yes,sev_a_year,1,m
pscmew,professional,town,yes,never,0,f
ewsmc,professional,town,yes,min_once_a_month,0,f
ewmsc,higher,town,yes,sev_a_year,1,m
ewmcs,professional,town,yes,sev_a_year,1,m
swmce,higher,town,yes,never,1,f
ewsmc,general,town,yes,sev_a_year,0,m
wemsc,professional,town,yes,sev_a_year,1,m
wemsc,general,town,yes,never,0,f
ewmsc,professional,town,yes,never,1,f
ewmc,professional,town,yes,min_once_a_month,1,m
ewmsc,higher,town,yes,never,1,f
sewmc,general,town,yes,sev_a_year,1,m
eswmc,higher,town,yes,once_a_week,1,m
wemsc,general,town,yes,never,0,f
wemcs,general,town,yes,min_once_a_month,0,m
ewmcs,general,town,yes,never,0,m
ewmsc,higher,town,yes,never,1,f
semc,professional,town,yes,never,1,f
ewsmc,general,town,yes,min_once_a_month,1,m
we,professional,town,yes,min_once_a_month,1,m
wemc,general,town,yes,min_once_a_month,1,m
wmecs,general,town,yes,never,0,f
ewmsc,general,town,yes,never,1,f
ewmc,higher,town,yes,sev_a_year,1,m
pscewm,general,town,yes,never,0,f
swmec,professional,town,yes,never,1,f
wemcs,professional,town,yes,min_once_a_month,0,m
