gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;last_ev
f;general;city;yes;min_once_a_month;1g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;child
f;general;city;yes;sev_a_year;4g;0;1;0;1;1;0;1;1;>;n;>;>;>;n;>;<;<;<;<;<;<;>;>;>;n;>;>;>;<;>;>;<;>;<;>;>;sep
m;general;city;no;never;6g;0;1;0;0;1;0;1;1;>;n;n;>;>;n;>;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;>;<;>;<;>;>;sep
f;higher;city;yes;never;6g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;professional;city;yes;min_once_a_month;5g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;div
f;professional;city;yes;sev_a_year;7g;1;0;0;0;1;1;1;1;<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;br
f;professional;city;yes;min_once_a_month;7g;1;0;0;0;1;1;1;1;<;<;<;>;>;<;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;br
f;professional;city;yes;sev_a_year;9g;1;1;0;0;1;1;1;1;<;<;<;<;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;br
f;general;city;yes;sev_a_year;10g;0;1;0;1;1;1;1;1;>;n;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;<;>;>;>;>;>;>;<;>;>;partner
f;general;city;yes;sev_a_year;5g;1;1;0;1;0;1;1;0;>;<;<;<;>;<;<;<;<;<;>;<;<;>;n;>;>;n;<;>;<;<;>;>;n;<;<;<;education
f;higher;city;no;never;8g;0;0;0;0;0;1;1;1;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;child
f;general;city;yes;min_once_a_month;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
f;professional;city;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;sep
f;professional;city;yes;min_once_a_month;2g;1;1;0;0;1;1;1;1;>;<;<;>;>;<;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;br
m;higher;city;yes;sev_a_year;1g;1;1;0;0;1;1;1;1;<;<;<;<;>;=;<;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;br
f;professional;city;yes;min_once_a_month;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;no;never;5g;0;0;0;0;0;0;1;1;n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;sep
f;general;city;yes;sev_a_year;3g;1;1;1;1;0;0;1;1;<;<;<;>;>;<;<;<;<;>;>;<;<;<;>;>;<;<;>;>;<;<;=;<;<;<;<;n;sep
f;general;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;<;>;=;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;higher;city;yes;never;1g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;higher;city;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;<;<;=;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;general;city;yes;min_once_a_month;3g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;yes;sev_a_year;6g;1;1;0;0;0;1;1;1;<;<;<;>;>;<;<;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;yes;min_once_a_month;6g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;general;city;no;never;9g;1;1;0;1;1;1;1;1;<;<;<;<;>;<;<;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;<;br
f;professional;city;yes;sev_a_year;5g;0;0;0;0;0;1;1;1;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;higher;city;yes;sev_a_year;8g;0;1;0;1;1;0;1;0;>;n;>;n;>;n;>;<;<;<;<;<;<;>;n;>;n;>;<;>;<;>;>;n;>;<;>;>;education
f;higher;city;yes;sev_a_year;2g;0;1;0;0;0;1;0;0;>;n;n;n;n;>;n;<;<;<;<;>;<;n;n;n;>;n;n;n;>;n;n;>;n;>;n;<;education
m;higher;city;yes;sev_a_year;3g;1;1;0;1;1;1;1;1;>;<;<;>;>;=;>;<;<;<;>;<;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;>;br
f;general;city;yes;sev_a_year;8g;1;1;0;1;1;0;1;1;>;<;>;>;>;<;>;<;<;>;>;<;<;>;>;>;n;>;>;>;<;>;<;<;<;<;<;>;sep
f;general;city;yes;min_once_a_month;4g;1;1;0;0;1;1;1;1;<;<;<;<;>;>;<;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;br
f;professional;city;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;sep
m;professional;city;yes;never;6g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;education
f;general;city;yes;sev_a_year;2g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;education
f;professional;city;yes;sev_a_year;2g;0;1;0;1;1;1;1;0;>;n;>;n;>;>;>;<;<;<;>;=;<;>;n;>;>;>;<;>;>;>;>;>;>;<;<;<;education
f;higher;city;yes;never;9g;1;1;0;1;1;1;1;0;>;<;>;<;>;=;>;<;<;<;<;<;<;>;n;>;>;>;<;>;<;>;>;>;>;<;>;>;education
f;general;city;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;<;<;<;>;>;>;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
m;professional;city;yes;never;7g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;yes;sev_a_year;2g;1;0;0;0;1;1;1;1;<;<;<;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;=;<;<;marriage
f;higher;city;no;never;2g;1;1;0;0;1;1;1;1;<;<;<;<;<;<;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
f;professional;city;yes;min_once_a_month;9g;1;1;0;1;1;0;1;1;>;<;>;>;>;<;>;<;<;>;>;<;<;>;>;>;n;>;>;>;<;>;>;<;<;<;<;>;sep
f;general;city;yes;sev_a_year;3g;1;0;1;0;0;1;1;0;<;<;<;<;>;>;<;>;n;n;>;>;n;<;<;>;>;<;n;>;>;n;>;>;n;<;<;<;education
f;professional;city;yes;sev_a_year;6g;1;0;0;0;0;1;1;1;<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;marriage
f;professional;city;no;never;10g;1;1;0;1;1;1;1;1;<;<;<;<;<;<;<;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;=;<;<;<;<;<;br
f;general;city;no;never;3g;1;1;0;1;1;1;1;1;>;<;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;<;br
f;higher;city;yes;once_a_week;6g;0;1;0;1;1;0;1;1;>;n;>;>;>;n;>;<;<;<;<;<;<;>;>;>;n;>;>;>;<;>;<;<;>;<;>;>;partner
f;higher;city;yes;min_once_a_month;1g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;city;yes;once_a_week;4g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;child
f;professional;city;yes;sev_a_year;6g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;div
f;general;city;yes;sev_a_week;1g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;partner
f;professional;city;yes;sev_a_year;9g;1;1;0;0;0;1;1;1;<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;yes;sev_a_year;6g;0;0;0;0;0;0;1;1;n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;sep
f;higher;city;yes;min_once_a_month;10g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;education
f;higher;city;no;never;5g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;higher;city;yes;sev_a_year;7g;1;1;0;0;1;1;1;1;>;<;<;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;br
f;professional;city;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;yes;min_once_a_month;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;=;<;<;child
f;higher;city;yes;sev_a_year;3g;0;0;0;0;0;0;1;1;n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;sep
m;general;city;yes;sev_a_year;11g;0;0;0;0;0;1;0;1;n;n;n;>;n;>;n;n;n;>;n;>;n;n;>;n;>;n;>;n;>;n;<;>;<;>;n;<;work
f;higher;city;no;min_once_a_month;11g;1;1;0;0;1;0;1;1;<;<;<;<;<;<;<;<;<;=;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
f;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;city;yes;sev_a_year;8g;0;0;0;0;1;0;1;1;n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;higher;city;yes;min_once_a_month;5g;0;1;0;0;0;0;1;1;>;n;n;>;>;n;n;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;=;<;<;<;<;n;child
f;higher;city;yes;min_once_a_month;10g;1;1;1;0;0;1;1;1;<;<;<;<;<;<;<;>;<;>;>;>;<;<;<;<;>;<;>;>;>;n;>;>;<;>;<;<;child
f;general;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;0;>;n;n;n;>;>;n;<;<;<;>;<;<;n;n;>;>;n;n;>;>;n;>;>;n;<;<;<;education
f;professional;city;yes;never;1g;0;0;0;0;1;1;1;0;n;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;education
m;higher;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
f;general;city;yes;min_once_a_month;2g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;<;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;education
f;professional;city;yes;min_once_a_month;9g;1;1;0;0;1;1;1;1;<;<;<;<;<;<;<;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
f;higher;city;yes;never;1g;0;1;0;0;1;1;0;1;>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;work
f;professional;city;yes;min_once_a_month;6g;1;0;0;0;1;0;1;1;<;<;<;>;>;<;<;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
f;professional;city;yes;sev_a_year;10g;1;1;0;0;1;0;1;1;<;<;<;>;>;<;<;<;<;>;>;<;>;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
f;professional;city;yes;never;6g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;=;<;<;<;<;child
f;professional;city;yes;sev_a_year;6g;1;0;0;0;1;1;1;1;<;<;<;<;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;br
f;professional;city;yes;never;7g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;div
f;general;city;yes;never;8g;1;1;1;0;1;1;1;1;<;<;<;>;>;<;<;<;<;>;>;<;<;<;>;>;>;>;>;>;>;>;=;<;<;<;<;>;div
m;higher;city;yes;never;1g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;education
f;higher;city;yes;min_once_a_month;8g;1;1;0;1;0;1;1;1;>;<;>;>;>;>;<;<;<;<;<;>;<;>;>;>;>;n;<;<;>;<;<;>;<;>;<;<;child
f;general;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;child
f;professional;city;yes;never;8g;0;1;0;0;1;0;1;1;>;n;n;>;>;n;>;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;higher;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;<;>;=;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
f;professional;city;yes;sev_a_year;10g;1;1;1;1;1;1;1;0;<;<;<;<;>;=;<;<;<;<;>;>;<;<;<;>;>;<;<;>;>;<;>;>;>;<;<;<;education
m;general;city;yes;never;8g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;child
f;higher;city;yes;sev_a_year;6g;1;1;0;0;0;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;br
f;professional;city;yes;never;7g;1;1;0;0;1;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;=;<;=;<;<;br
f;professional;village;no;never;10g;1;1;0;0;0;1;1;1;<;<;<;<;<;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;child
f;general;city;yes;never;8g;1;1;0;1;0;1;1;1;<;<;<;<;>;>;<;<;<;<;>;>;<;>;>;>;>;n;<;>;>;<;>;>;<;<;<;<;br
f;general;city;yes;sev_a_year;2g;1;1;1;1;1;1;1;0;<;<;<;<;>;=;<;<;<;<;>;>;<;=;<;>;>;>;<;>;>;>;>;>;>;<;<;<;education
f;professional;city;yes;never;5g;0;1;0;1;1;1;1;1;>;n;>;>;>;>;>;<;<;<;<;>;<;>;>;>;>;>;<;>;>;>;>;>;>;>;>;<;partner
m;professional;city;no;never;8g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;child
f;general;city;yes;never;8g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
m;professional;city;yes;sev_a_week;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;child
f;general;city;yes;min_once_a_month;1g;1;0;1;0;1;1;1;1;<;<;<;>;>;<;<;>;n;>;>;>;>;<;>;>;<;>;>;>;>;>;>;<;<;<;<;>;marriage
f;professional;city;yes;never;9g;1;0;0;0;0;1;1;1;<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;city;yes;never;4g;1;1;0;0;1;1;1;1;>;<;<;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;div
f;general;city;yes;never;1g;0;1;0;0;1;0;1;1;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;general;city;yes;never;2g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;higher;city;no;never;4g;1;0;1;0;0;1;1;1;<;<;<;>;>;>;<;>;n;>;>;>;n;<;>;>;>;<;>;>;>;n;<;>;<;>;<;<;child
f;professional;city;no;never;3g;1;1;0;1;1;1;1;1;>;<;>;>;>;>;>;<;<;<;<;=;<;>;>;>;>;>;<;>;>;>;>;>;>;>;>;<;br
f;higher;city;yes;never;6g;1;0;0;0;1;1;1;1;<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;marriage
m;higher;city;yes;sev_a_year;6g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;higher;city;yes;never;6g;0;0;0;0;0;1;1;0;n;n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;>;>;n;>;<;<;education
f;general;city;yes;sev_a_year;5g;1;1;1;1;1;0;1;1;<;<;<;<;>;<;<;<;<;<;>;<;>;<;<;>;<;>;<;>;<;>;>;<;>;<;<;>;sep
f;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
m;general;city;yes;never;2g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;div
f;professional;city;yes;never;4g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;div
f;general;city;no;never;11g;1;0;1;0;1;1;1;1;<;<;<;<;<;=;<;>;n;>;>;>;>;<;<;<;>;<;>;>;>;>;<;>;>;>;>;<;marriage
f;general;city;yes;sev_a_year;4g;1;1;0;0;0;1;1;1;<;<;<;<;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;child
f;general;city;yes;never;1g;1;1;1;1;1;1;1;0;<;<;<;<;>;=;<;<;<;<;>;>;<;<;<;>;>;>;<;>;>;>;>;>;>;<;<;<;education
f;professional;city;yes;sev_a_year;9g;1;1;0;0;1;1;1;0;<;<;<;<;<;=;<;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;education
f;general;city;no;never;10g;1;0;1;0;1;1;1;1;<;<;<;>;<;>;<;>;n;>;>;>;>;<;>;>;>;<;>;>;>;>;<;<;<;>;<;<;marriage
f;professional;city;yes;never;6g;0;1;0;0;1;0;1;1;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;general;city;yes;sev_a_year;2g;0;0;0;0;1;1;1;1;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;marriage
f;general;city;yes;sev_a_year;7g;1;1;1;0;1;1;1;1;<;<;<;<;=;<;<;<;<;<;>;<;<;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;div
f;professional;city;yes;never;1g;0;0;0;0;1;1;1;1;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;marriage
m;professional;city;no;never;8g;0;1;0;0;0;0;1;1;>;n;n;>;>;n;n;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;sep
f;professional;city;yes;never;8g;0;1;0;1;1;1;1;1;>;n;>;>;>;>;>;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;<;<;<;<;<;>;partner
f;professional;city;yes;never;8g;1;0;1;0;1;1;1;1;<;<;<;<;>;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;<;<;<;<;marriage
f;professional;city;yes;sev_a_year;4g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;professional;city;yes;sev_a_year;8g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;professional;city;yes;never;8g;1;1;0;0;1;1;0;1;<;<;<;>;<;=;<;<;<;>;<;>;>;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;work
m;professional;city;yes;never;2g;1;1;1;0;1;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;>;<;<;div
f;professional;city;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;higher;city;no;never;7g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;professional;city;yes;sev_a_year;10g;1;1;0;0;1;1;0;1;<;<;<;<;<;=;<;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;=;>;>;<;work
f;general;city;yes;sev_a_year;3g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;professional;city;no;sev_a_week;8g;1;1;0;0;0;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;city;yes;sev_a_year;8g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;>;>;partner
f;professional;city;yes;never;9g;1;1;0;0;0;1;1;1;<;<;<;<;>;>;<;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;professional;city;yes;sev_a_year;5g;1;1;1;1;1;1;1;0;<;<;<;<;>;>;<;<;<;<;>;>;<;<;<;>;>;>;<;>;>;>;>;>;>;>;<;<;education
m;general;city;yes;sev_a_year;6g;1;1;0;0;1;1;1;0;<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;general;city;yes;sev_a_year;8g;1;1;0;0;1;1;1;1;<;<;<;>;>;>;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;br
m;higher;city;yes;never;6g;1;0;1;0;1;1;1;1;<;<;<;<;<;>;<;>;n;>;>;>;>;<;>;>;>;=;>;>;>;>;<;>;<;>;<;<;marriage
f;professional;city;yes;never;7g;1;1;0;0;0;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;city;yes;never;3g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;=;<;>;<;<;child
f;professional;city;yes;sev_a_year;7g;1;1;0;0;1;1;1;1;<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;br
m;professional;city;yes;never;4g;1;1;0;0;1;1;1;1;>;<;<;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;br
f;higher;city;yes;sev_a_year;7g;1;1;0;0;1;1;1;0;<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;higher;city;yes;sev_a_year;6g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;higher;city;yes;sev_a_year;4g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;div
f;professional;city;yes;sev_a_year;11g;1;1;1;1;1;1;0;1;<;<;<;<;<;<;<;<;<;>;<;<;<;<;>;<;>;>;>;<;>;>;<;<;<;>;>;<;work
f;professional;city;yes;never;7g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;general;city;no;never;6g;0;1;0;0;1;1;1;1;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;partner
f;higher;city;yes;sev_a_year;10g;0;1;0;0;1;1;1;0;>;n;n;n;>;>;>;<;<;<;<;=;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;professional;city;yes;sev_a_week;6g;1;1;1;0;1;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;=;<;<;div
m;general;city;no;never;8g;0;1;0;0;0;1;1;1;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;child
m;professional;city;yes;sev_a_year;8g;1;1;0;0;0;1;1;1;<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;=;<;<;child
f;professional;city;yes;sev_a_year;8g;0;1;0;1;0;1;0;1;>;n;>;>;n;>;n;<;<;>;<;>;<;>;>;n;>;n;>;<;>;<;<;>;<;>;n;<;work
f;professional;city;no;never;8g;1;0;0;0;1;1;1;1;<;<;<;>;<;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;br
