partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;gender;education type;locality;religion;how often;generation;last_ev
>;n;n;>;n;>;>;<;<;>;<;=;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;f;general;village;yes;never;10g;work
>;n;n;>;n;>;>;<;<;>;<;=;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;f;general;village;yes;never;8g;work
>;n;n;>;n;>;n;<;<;>;<;=;<;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;f;general;village;yes;never;8g;child
n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;general;village;yes;never;6g;education
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;village;yes;sev_a_year;7g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;never;2g;child
>;n;n;>;n;>;>;<;<;>;<;>;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;m;general;village;yes;never;9g;work
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;never;5g;child
>;n;n;>;>;n;>;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;higher;village;yes;never;5g;sep
>;n;n;>;>;>;n;<;<;>;=;=;<;n;>;>;>;n;>;>;>;n;<;<;<;=;<;<;f;general;village;yes;never;7g;child
>;n;n;>;>;>;n;<;<;<;<;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;never;7g;child
>;n;n;>;>;n;n;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;m;general;village;yes;never;8g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;general;village;yes;never;3g;child
>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;higher;village;yes;never;8g;child
>;n;n;>;>;>;n;<;<;>;<;=;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;f;general;village;yes;never;6g;child
>;n;n;n;n;n;>;<;<;<;<;<;<;n;n;n;n;>;n;n;n;>;n;n;>;n;>;>;f;general;village;yes;never;9g;education
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;f;general;village;yes;never;1g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;higher;village;yes;never;6g;child
>;n;n;>;n;>;>;<;<;<;<;<;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;>;m;higher;village;yes;never;9g;work
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;f;general;village;yes;never;1g;child
>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;general;village;yes;never;10g;work
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;never;3g;child
>;n;n;>;n;>;n;<;<;<;<;=;<;n;>;n;>;n;>;n;>;n;<;>;<;>;n;<;f;professional;village;yes;never;9g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;9g;sep
>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;general;village;yes;never;6g;sep
>;n;n;>;n;>;n;<;<;>;<;=;<;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;f;professional;village;yes;never;8g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;never;8g;child
>;n;n;>;n;n;>;<;<;>;<;<;<;n;>;n;n;>;>;n;n;>;<;<;<;n;>;>;m;general;village;yes;never;9g;sep
>;n;n;>;>;>;n;<;<;<;<;=;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;never;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;general;village;yes;never;8g;child
>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;general;village;yes;never;10g;sep
>;n;n;>;n;n;>;<;<;<;<;<;<;n;>;n;n;>;>;n;n;>;<;<;>;n;>;>;f;general;village;yes;never;11g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;yes;never;5g;child
>;n;n;>;n;>;n;<;<;>;<;=;<;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;f;general;village;yes;never;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;village;yes;never;7g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;general;village;yes;never;8g;sep
>;n;n;n;n;>;>;<;<;<;<;>;<;n;n;n;>;>;n;n;>;>;n;>;>;>;>;<;f;general;village;yes;never;9g;education
>;n;n;>;n;>;n;<;<;>;<;<;<;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;f;general;village;yes;never;8g;child
>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;professional;village;yes;never;9g;work
<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;>;<;>;>;>;>;>;>;>;>;<;<;>;m;professional;city;yes;never;4g;div
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;professional;city;yes;sev_a_year;7g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;professional;city;no;never;6g;br
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;<;f;higher;city;yes;min_once_a_month;6g;div
<;<;<;>;>;=;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;city;yes;sev_a_year;11g;br
>;<;<;>;>;=;>;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;>;f;general;city;yes;sev_a_year;1g;br
<;<;<;<;<;=;<;<;<;=;<;>;<;<;>;>;>;<;>;>;>;>;<;>;<;>;<;<;m;professional;city;yes;sev_a_year;7g;div
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;f;higher;city;yes;sev_a_year;11g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;city;yes;sev_a_year;8g;child
<;<;<;>;<;<;<;<;<;>;<;>;<;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;m;professional;city;yes;sev_a_year;5g;work
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;higher;city;no;never;7g;education
<;<;<;>;<;<;<;<;<;>;>;<;<;=;>;>;>;<;>;>;>;<;<;<;<;<;<;<;f;professional;city;no;never;10g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;general;city;yes;sev_a_year;2g;child
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;<;f;higher;city;yes;sev_a_year;8g;div
>;n;>;>;>;n;n;<;<;>;>;<;<;>;>;>;n;n;>;>;<;<;>;<;<;<;<;n;f;higher;city;yes;min_once_a_month;4g;sep
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;f;professional;city;yes;sev_a_year;11g;sep
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;higher;city;no;sev_a_year;6g;education
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;f;higher;city;yes;sev_a_year;9g;br
>;<;>;>;>;<;>;<;<;>;>;<;<;>;>;>;n;>;>;>;<;>;=;<;<;<;<;>;m;professional;city;yes;never;6g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;higher;city;no;never;4g;child
>;n;n;n;>;>;>;<;<;<;<;=;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;f;higher;city;yes;sev_a_year;10g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;no;never;4g;child
<;<;<;<;<;<;>;<;<;<;>;<;>;n;>;>;>;>;>;>;>;>;>;>;>;<;>;>;f;general;city;no;sev_a_year;4g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;no;never;4g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;f;professional;city;yes;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;professional;city;yes;sev_a_year;9g;child
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;m;professional;city;no;never;11g;sep
n;n;n;>;n;>;n;n;n;>;n;>;n;n;>;n;>;n;>;n;>;n;<;>;<;>;n;<;m;professional;city;yes;never;11g;work
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;f;higher;city;no;never;9g;education
>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;>;<;<;f;professional;city;yes;sev_a_year;2g;br
>;n;n;>;>;>;n;<;<;<;<;=;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;city;no;never;8g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;city;yes;sev_a_year;10g;sep
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;professional;city;yes;never;4g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;city;yes;never;6g;child
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;city;no;never;1g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;general;city;no;never;5g;br
>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;professional;city;yes;sev_a_year;3g;education
>;n;n;>;>;>;n;<;<;<;<;=;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;no;never;5g;child
<;<;<;<;>;=;<;<;<;<;>;>;=;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;f;general;city;yes;never;1g;br
>;n;n;>;>;>;n;<;<;>;=;=;<;n;>;>;>;n;>;>;>;n;<;<;<;=;<;<;f;professional;city;yes;min_once_a_month;6g;child
>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;professional;city;yes;never;8g;work
<;<;<;<;<;<;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;=;<;>;<;<;m;professional;city;no;never;9g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;city;yes;sev_a_year;7g;child
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;professional;city;no;sev_a_year;2g;child
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;no;never;5g;education
<;<;<;<;<;<;<;<;<;<;>;<;>;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;f;general;city;yes;sev_a_year;8g;sep
<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;professional;city;yes;never;6g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;f;professional;city;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;city;yes;sev_a_year;4g;child
<;<;<;<;>;<;<;>;n;>;>;n;>;<;>;>;<;>;>;>;n;>;>;<;>;<;<;>;f;professional;city;yes;sev_a_year;7g;sep
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;f;higher;city;yes;never;7g;div
>;n;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;<;m;higher;city;no;never;5g;partner
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;general;city;yes;sev_a_year;5g;div
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;=;<;>;<;<;f;higher;city;yes;sev_a_year;6g;partner
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;no;never;9g;sep
n;n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;>;>;n;>;<;<;f;higher;city;yes;min_once_a_month;11g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;m;professional;city;no;never;6g;sep
>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;higher;city;no;never;4g;child
<;<;<;>;>;<;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;higher;city;yes;never;1g;br
<;<;<;<;>;<;<;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;no;sev_a_year;8g;education
<;<;<;<;<;>;<;<;<;<;=;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;professional;city;yes;sev_a_year;10g;child
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;city;yes;sev_a_year;5g;div
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;m;professional;city;no;never;5g;br
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;m;professional;city;yes;sev_a_year;9g;child
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;m;professional;city;no;never;5g;marriage
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;m;professional;city;no;never;1g;sep
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;f;higher;city;no;never;2g;marriage
<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;city;yes;sev_a_year;6g;br
<;<;<;<;<;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;f;higher;city;yes;sev_a_year;9g;marriage
n;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;general;city;yes;sev_a_year;2g;education
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;f;professional;city;yes;never;6g;marriage
n;n;n;>;n;>;n;n;n;>;n;>;n;n;>;n;>;n;>;n;>;n;<;>;<;>;n;<;f;higher;city;yes;never;6g;work
>;<;<;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;city;yes;sev_a_year;1g;br
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;f;general;city;yes;never;2g;br
<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;city;yes;sev_a_year;2g;br
<;<;<;>;>;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;=;<;<;f;professional;city;yes;sev_a_year;4g;marriage
<;<;<;>;>;>;<;<;<;>;>;>;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;city;no;sev_a_week;2g;div
>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;f;professional;city;yes;sev_a_year;5g;child
<;<;<;<;<;>;<;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;<;f;higher;city;yes;sev_a_year;5g;br
<;<;<;<;>;=;<;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;f;professional;city;yes;sev_a_year;9g;br
>;<;>;>;>;>;<;<;<;>;>;>;<;>;>;>;>;>;>;>;>;<;<;>;<;>;<;<;f;professional;city;yes;once_a_week;5g;br
<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;f;higher;city;yes;sev_a_year;4g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;yes;never;2g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;f;general;city;yes;sev_a_year;3g;br
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;>;<;f;professional;city;yes;min_once_a_month;4g;div
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;higher;city;yes;sev_a_year;9g;education
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;higher;city;yes;never;9g;sep
>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;=;>;<;>;<;<;f;professional;city;yes;sev_a_year;3g;br
>;n;n;>;n;>;>;<;<;>;<;>;=;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;m;professional;city;no;never;8g;work
>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;city;yes;never;3g;br
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;yes;sev_a_year;3g;sep
<;<;<;<;<;=;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;professional;city;no;never;10g;br
<;<;<;>;<;<;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;>;<;<;m;professional;city;yes;never;6g;marriage
<;<;<;>;<;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;f;general;city;yes;never;6g;child
<;<;<;>;>;=;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;city;yes;never;11g;br
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;higher;city;yes;never;7g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;professional;city;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;never;2g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;village;yes;never;2g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;no;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;professional;village;yes;sev_a_year;7g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;professional;village;no;never;2g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;professional;village;no;never;8g;child
>;n;n;>;>;>;n;<;<;>;=;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;never;8g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;higher;village;no;never;7g;child
>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;professional;village;yes;sev_a_year;2g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;sev_a_year;4g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;sev_a_year;4g;child
>;<;<;>;>;>;<;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;village;no;never;9g;child
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;general;village;yes;sev_a_year;6g;div
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;professional;village;yes;never;3g;child
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;professional;village;yes;never;4g;education
>;n;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;<;f;general;city;yes;sev_a_year;2g;partner
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;city;yes;sev_a_year;6g;div
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;city;yes;sev_a_year;9g;child
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;<;>;<;<;>;m;general;city;yes;never;11g;div
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;general;city;yes;sev_a_year;6g;child
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;higher;city;yes;never;6g;sep
<;<;<;<;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;f;higher;city;yes;sev_a_year;7g;br
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;f;higher;city;yes;min_once_a_month;5g;br
>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;higher;city;yes;sev_a_year;4g;child
<;<;<;<;<;>;<;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;f;higher;city;yes;sev_a_year;8g;work
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;professional;city;yes;sev_a_year;7g;partner
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;professional;city;yes;never;4g;br
>;n;n;n;>;>;>;<;<;<;<;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;f;professional;city;yes;min_once_a_month;5g;education
>;n;n;>;>;>;n;<;<;<;<;<;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;general;city;no;never;11g;child
n;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;f;professional;city;yes;sev_a_year;9g;education
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;f;professional;city;yes;sev_a_year;7g;child
n;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;professional;city;yes;sev_a_year;2g;education
<;<;<;>;>;>;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;general;city;no;never;5g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;city;no;never;6g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;general;city;yes;never;1g;child
<;<;<;<;<;<;<;<;<;<;<;<;<;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;f;higher;city;yes;sev_a_year;3g;work
<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;general;city;no;never;8g;education
<;<;<;>;>;<;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;general;city;yes;min_once_a_month;5g;br
>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;higher;city;yes;sev_a_year;1g;child
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;f;higher;city;yes;never;5g;sep
n;n;n;n;>;n;n;n;n;n;>;n;n;n;n;>;n;n;n;>;n;n;>;n;n;<;<;n;m;higher;city;yes;never;11g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;f;professional;city;yes;sev_a_year;4g;sep
<;<;<;>;>;<;<;<;<;>;>;<;<;<;>;>;<;>;>;>;n;>;<;<;<;<;<;>;f;general;city;no;never;6g;sep
>;n;n;>;>;>;n;<;<;<;>;=;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;f;professional;city;no;never;6g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;general;city;yes;never;10g;child
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;m;professional;city;no;never;9g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;yes;never;7g;child
>;n;n;>;>;>;n;<;<;<;<;<;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;general;city;yes;min_once_a_month;2g;child
